feature_set,model,true,pred,count
Electrical + irradiance,RF,Open-Circuit,Degradation,2
Electrical + irradiance,RF,Open-Circuit,Open-Circuit,6022
Electrical + irradiance,RF,Open-Circuit,Shadowing,0
Electrical + irradiance,RF,Shadowing,Normal,4281
Electrical + irradiance,RF,Shadowing,Short-Circuit,63
Electrical + irradiance,RF,Shadowing,Degradation,27
Electrical + irradiance,RF,Shadowing,Open-Circuit,0
Electrical + irradiance,RF,Shadowing,Shadowing,184102
Electrical + irradiance,HistGBM,Normal,Normal,400468
Electrical + irradiance,HistGBM,Normal,Short-Circuit,0
Electrical + irradiance,HistGBM,Normal,Degradation,0
Electrical + irradiance,HistGBM,Normal,Open-Circuit,0
Electrical + irradiance,HistGBM,Normal,Shadowing,2376
Electrical + irradiance,HistGBM,Short-Circuit,Normal,1
Electrical + irradiance,HistGBM,Short-Circuit,Short-Circuit,5316
Electrical + irradiance,HistGBM,Short-Circuit,Degradation,33
Electrical + irradiance,HistGBM,Short-Circuit,Open-Circuit,0
Electrical + irradiance,HistGBM,Short-Circuit,Shadowing,649
Electrical + irradiance,HistGBM,Degradation,Normal,247
Electrical + irradiance,HistGBM,Degradation,Short-Circuit,25
Electrical + irradiance,HistGBM,Degradation,Degradation,9106
Electrical + irradiance,HistGBM,Degradation,Open-Circuit,17
Electrical + irradiance,HistGBM,Degradation,Shadowing,976
Electrical + irradiance,HistGBM,Open-Circuit,Normal,0
Electrical + irradiance,HistGBM,Open-Circuit,Short-Circuit,0
Electrical + irradiance,HistGBM,Open-Circuit,Degradation,61
Electrical + irradiance,HistGBM,Open-Circuit,Open-Circuit,5963
Electrical + irradiance,HistGBM,Open-Circuit,Shadowing,0
Electrical + irradiance,HistGBM,Shadowing,Normal,2751
Electrical + irradiance,HistGBM,Shadowing,Short-Circuit,66
Electrical + irradiance,HistGBM,Shadowing,Degradation,24
Electrical + irradiance,HistGBM,Shadowing,Open-Circuit,0
Electrical + irradiance,HistGBM,Shadowing,Shadowing,185632
Electrical + irradiance + module temp,LogReg,Normal,Normal,362960
Electrical + irradiance + module temp,LogReg,Normal,Short-Circuit,0
Electrical + irradiance + module temp,LogReg,Normal,Degradation,57
Electrical + irradiance + module temp,LogReg,Normal,Open-Circuit,176
Electrical + irradiance + module temp,LogReg,Normal,Shadowing,39651
Electrical + irradiance + module temp,LogReg,Short-Circuit,Normal,0
Electrical + irradiance + module temp,LogReg,Short-Circuit,Short-Circuit,5955
Electrical + irradiance + module temp,LogReg,Short-Circuit,Degradation,44
Electrical + irradiance + module temp,LogReg,Short-Circuit,Open-Circuit,0
Electrical + irradiance + module temp,LogReg,Short-Circuit,Shadowing,0
Electrical + irradiance + module temp,LogReg,Degradation,Normal,538
Electrical + irradiance + module temp,LogReg,Degradation,Short-Circuit,20
Electrical + irradiance + module temp,LogReg,Degradation,Degradation,9694
Electrical + irradiance + module temp,LogReg,Degradation,Open-Circuit,21
Electrical + irradiance + module temp,LogReg,Degradation,Shadowing,98
Electrical + irradiance + module temp,LogReg,Open-Circuit,Normal,0
Electrical + irradiance + module temp,LogReg,Open-Circuit,Short-Circuit,1
Electrical + irradiance + module temp,LogReg,Open-Circuit,Degradation,2
Electrical + irradiance + module temp,LogReg,Open-Circuit,Open-Circuit,6021
Electrical + irradiance + module temp,LogReg,Open-Circuit,Shadowing,0
Electrical + irradiance + module temp,LogReg,Shadowing,Normal,31589
Electrical + irradiance + module temp,LogReg,Shadowing,Short-Circuit,964
Electrical + irradiance + module temp,LogReg,Shadowing,Degradation,183
Electrical + irradiance + module temp,LogReg,Shadowing,Open-Circuit,7
Electrical + irradiance + module temp,LogReg,Shadowing,Shadowing,155730
Electrical + irradiance + module temp,RF,Normal,Normal,400841
Electrical + irradiance + module temp,RF,Normal,Short-Circuit,0
Electrical + irradiance + module temp,RF,Normal,Degradation,0
Electrical + irradiance + module temp,RF,Normal,Open-Circuit,0
Electrical + irradiance + module temp,RF,Normal,Shadowing,2003
Electrical + irradiance + module temp,RF,Short-Circuit,Normal,2
Electrical + irradiance + module temp,RF,Short-Circuit,Short-Circuit,4975
Electrical + irradiance + module temp,RF,Short-Circuit,Degradation,19
Electrical + irradiance + module temp,RF,Short-Circuit,Open-Circuit,0
Electrical + irradiance + module temp,RF,Short-Circuit,Shadowing,1003
Electrical + irradiance + module temp,RF,Degradation,Normal,1136
Electrical + irradiance + module temp,RF,Degradation,Short-Circuit,30
Electrical + irradiance + module temp,RF,Degradation,Degradation,8672
Electrical + irradiance + module temp,RF,Degradation,Open-Circuit,16
Electrical + irradiance + module temp,RF,Degradation,Shadowing,517
Electrical + irradiance + module temp,RF,Open-Circuit,Normal,0
Electrical + irradiance + module temp,RF,Open-Circuit,Short-Circuit,0
Electrical + irradiance + module temp,RF,Open-Circuit,Degradation,0
Electrical + irradiance + module temp,RF,Open-Circuit,Open-Circuit,6024
Electrical + irradiance + module temp,RF,Open-Circuit,Shadowing,0
Electrical + irradiance + module temp,RF,Shadowing,Normal,4156
Electrical + irradiance + module temp,RF,Shadowing,Short-Circuit,68
Electrical + irradiance + module temp,RF,Shadowing,Degradation,27
Electrical + irradiance + module temp,RF,Shadowing,Open-Circuit,0
Electrical + irradiance + module temp,RF,Shadowing,Shadowing,184222
Electrical + irradiance + module temp,HistGBM,Normal,Normal,400276
Electrical + irradiance + module temp,HistGBM,Normal,Short-Circuit,0
Electrical + irradiance + module temp,HistGBM,Normal,Degradation,0
Electrical + irradiance + module temp,HistGBM,Normal,Open-Circuit,0
Electrical + irradiance + module temp,HistGBM,Normal,Shadowing,2568
Electrical + irradiance + module temp,HistGBM,Short-Circuit,Normal,1
Electrical + irradiance + module temp,HistGBM,Short-Circuit,Short-Circuit,5315
Electrical + irradiance + module temp,HistGBM,Short-Circuit,Degradation,26
Electrical + irradiance + module temp,HistGBM,Short-Circuit,Open-Circuit,0
Electrical + irradiance + module temp,HistGBM,Short-Circuit,Shadowing,657
Electrical + irradiance + module temp,HistGBM,Degradation,Normal,174
Electrical + irradiance + module temp,HistGBM,Degradation,Short-Circuit,71
Electrical + irradiance + module temp,HistGBM,Degradation,Degradation,8379
Electrical + irradiance + module temp,HistGBM,Degradation,Open-Circuit,23
Electrical + irradiance + module temp,HistGBM,Degradation,Shadowing,1724
Electrical + irradiance + module temp,HistGBM,Open-Circuit,Normal,0
Electrical + irradiance + module temp,HistGBM,Open-Circuit,Short-Circuit,0
Electrical + irradiance + module temp,HistGBM,Open-Circuit,Degradation,46
Electrical + irradiance + module temp,HistGBM,Open-Circuit,Open-Circuit,5978
Electrical + irradiance + module temp,HistGBM,Open-Circuit,Shadowing,0
Electrical + irradiance + module temp,HistGBM,Shadowing,Normal,3146
Electrical + irradiance + module temp,HistGBM,Shadowing,Short-Circuit,65
Electrical + irradiance + module temp,HistGBM,Shadowing,Degradation,23
Electrical + irradiance + module temp,HistGBM,Shadowing,Open-Circuit,0
Electrical + irradiance + module temp,HistGBM,Shadowing,Shadowing,185239
No current sensors,LogReg,Normal,Normal,323127
No current sensors,LogReg,Normal,Short-Circuit,1420
No current sensors,LogReg,Normal,Degradation,25301
No current sensors,LogReg,Normal,Open-Circuit,0
No current sensors,LogReg,Normal,Shadowing,52996
No current sensors,LogReg,Short-Circuit,Normal,6
No current sensors,LogReg,Short-Circuit,Short-Circuit,5946
No current sensors,LogReg,Short-Circuit,Degradation,47
No current sensors,LogReg,Short-Circuit,Open-Circuit,0
No current sensors,LogReg,Short-Circuit,Shadowing,0
No current sensors,LogReg,Degradation,Normal,362
No current sensors,LogReg,Degradation,Short-Circuit,8
No current sensors,LogReg,Degradation,Degradation,9879
No current sensors,LogReg,Degradation,Open-Circuit,24
No current sensors,LogReg,Degradation,Shadowing,98
No current sensors,LogReg,Open-Circuit,Normal,0
No current sensors,LogReg,Open-Circuit,Short-Circuit,1
No current sensors,LogReg,Open-Circuit,Degradation,4
No current sensors,LogReg,Open-Circuit,Open-Circuit,6019
No current sensors,LogReg,Open-Circuit,Shadowing,0
No current sensors,LogReg,Shadowing,Normal,45072
No current sensors,LogReg,Shadowing,Short-Circuit,1404
No current sensors,LogReg,Shadowing,Degradation,12739
No current sensors,LogReg,Shadowing,Open-Circuit,0
No current sensors,LogReg,Shadowing,Shadowing,129258
No current sensors,RF,Normal,Normal,349337
No current sensors,RF,Normal,Short-Circuit,144
No current sensors,RF,Normal,Degradation,968
No current sensors,RF,Normal,Open-Circuit,0
No current sensors,RF,Normal,Shadowing,52395
No current sensors,RF,Short-Circuit,Normal,299
No current sensors,RF,Short-Circuit,Short-Circuit,5647
No current sensors,RF,Short-Circuit,Degradation,11
No current sensors,RF,Short-Circuit,Open-Circuit,0
No current sensors,RF,Short-Circuit,Shadowing,42
No current sensors,RF,Degradation,Normal,2814
No current sensors,RF,Degradation,Short-Circuit,1
No current sensors,RF,Degradation,Degradation,6199
No current sensors,RF,Degradation,Open-Circuit,21
No current sensors,RF,Degradation,Shadowing,1336
No current sensors,RF,Open-Circuit,Normal,0
No current sensors,RF,Open-Circuit,Short-Circuit,0
