feature_set,model,true,pred,count
Electrical (full),MLP,Shadowing,Open-Circuit,0
Electrical (full),MLP,Shadowing,Shadowing,186524
Electrical + irradiance,MLP,Normal,Normal,399500
Electrical + irradiance,MLP,Normal,Short-Circuit,0
Electrical + irradiance,MLP,Normal,Degradation,0
Electrical + irradiance,MLP,Normal,Open-Circuit,0
Electrical + irradiance,MLP,Normal,Shadowing,3344
Electrical + irradiance,MLP,Short-Circuit,Normal,0
Electrical + irradiance,MLP,Short-Circuit,Short-Circuit,5915
Electrical + irradiance,MLP,Short-Circuit,Degradation,25
Electrical + irradiance,MLP,Short-Circuit,Open-Circuit,0
Electrical + irradiance,MLP,Short-Circuit,Shadowing,59
Electrical + irradiance,MLP,Degradation,Normal,0
Electrical + irradiance,MLP,Degradation,Short-Circuit,10
Electrical + irradiance,MLP,Degradation,Degradation,9753
Electrical + irradiance,MLP,Degradation,Open-Circuit,23
Electrical + irradiance,MLP,Degradation,Shadowing,585
Electrical + irradiance,MLP,Open-Circuit,Normal,0
Electrical + irradiance,MLP,Open-Circuit,Short-Circuit,0
Electrical + irradiance,MLP,Open-Circuit,Degradation,1
Electrical + irradiance,MLP,Open-Circuit,Open-Circuit,6023
Electrical + irradiance,MLP,Open-Circuit,Shadowing,0
Electrical + irradiance,MLP,Shadowing,Normal,1440
Electrical + irradiance,MLP,Shadowing,Short-Circuit,68
Electrical + irradiance,MLP,Shadowing,Degradation,84
Electrical + irradiance,MLP,Shadowing,Open-Circuit,0
Electrical + irradiance,MLP,Shadowing,Shadowing,186881
Electrical + irradiance + module temp,MLP,Normal,Normal,398939
Electrical + irradiance + module temp,MLP,Normal,Short-Circuit,0
Electrical + irradiance + module temp,MLP,Normal,Degradation,0
Electrical + irradiance + module temp,MLP,Normal,Open-Circuit,0
Electrical + irradiance + module temp,MLP,Normal,Shadowing,3905
Electrical + irradiance + module temp,MLP,Short-Circuit,Normal,0
Electrical + irradiance + module temp,MLP,Short-Circuit,Short-Circuit,5914
Electrical + irradiance + module temp,MLP,Short-Circuit,Degradation,20
Electrical + irradiance + module temp,MLP,Short-Circuit,Open-Circuit,0
Electrical + irradiance + module temp,MLP,Short-Circuit,Shadowing,65
Electrical + irradiance + module temp,MLP,Degradation,Normal,0
Electrical + irradiance + module temp,MLP,Degradation,Short-Circuit,4
Electrical + irradiance + module temp,MLP,Degradation,Degradation,9834
Electrical + irradiance + module temp,MLP,Degradation,Open-Circuit,23
Electrical + irradiance + module temp,MLP,Degradation,Shadowing,510
Electrical + irradiance + module temp,MLP,Open-Circuit,Normal,0
Electrical + irradiance + module temp,MLP,Open-Circuit,Short-Circuit,0
Electrical + irradiance + module temp,MLP,Open-Circuit,Degradation,10
Electrical + irradiance + module temp,MLP,Open-Circuit,Open-Circuit,6014
Electrical + irradiance + module temp,MLP,Open-Circuit,Shadowing,0
Electrical + irradiance + module temp,MLP,Shadowing,Normal,2664
Electrical + irradiance + module temp,MLP,Shadowing,Short-Circuit,68
Electrical + irradiance + module temp,MLP,Shadowing,Degradation,156
Electrical + irradiance + module temp,MLP,Shadowing,Open-Circuit,0
Electrical + irradiance + module temp,MLP,Shadowing,Shadowing,185585
No current sensors,MLP,Normal,Normal,337732
No current sensors,MLP,Normal,Short-Circuit,185
No current sensors,MLP,Normal,Degradation,1107
No current sensors,MLP,Normal,Open-Circuit,0
No current sensors,MLP,Normal,Shadowing,63820
No current sensors,MLP,Short-Circuit,Normal,32
No current sensors,MLP,Short-Circuit,Short-Circuit,5929
No current sensors,MLP,Short-Circuit,Degradation,11
No current sensors,MLP,Short-Circuit,Open-Circuit,0
No current sensors,MLP,Short-Circuit,Shadowing,27
No current sensors,MLP,Degradation,Normal,2258
No current sensors,MLP,Degradation,Short-Circuit,0
No current sensors,MLP,Degradation,Degradation,6884
No current sensors,MLP,Degradation,Open-Circuit,25
No current sensors,MLP,Degradation,Shadowing,1204
No current sensors,MLP,Open-Circuit,Normal,0
No current sensors,MLP,Open-Circuit,Short-Circuit,0
No current sensors,MLP,Open-Circuit,Degradation,4
No current sensors,MLP,Open-Circuit,Open-Circuit,6019
No current sensors,MLP,Open-Circuit,Shadowing,1
No current sensors,MLP,Shadowing,Normal,37733
No current sensors,MLP,Shadowing,Short-Circuit,120
No current sensors,MLP,Shadowing,Degradation,1175
No current sensors,MLP,Shadowing,Open-Circuit,1
No current sensors,MLP,Shadowing,Shadowing,149444
No voltage sensors,MLP,Normal,Normal,371547
No voltage sensors,MLP,Normal,Short-Circuit,23
No voltage sensors,MLP,Normal,Degradation,3035
No voltage sensors,MLP,Normal,Open-Circuit,0
No voltage sensors,MLP,Normal,Shadowing,28239
No voltage sensors,MLP,Short-Circuit,Normal,5686
No voltage sensors,MLP,Short-Circuit,Short-Circuit,7
No voltage sensors,MLP,Short-Circuit,Degradation,268
No voltage sensors,MLP,Short-Circuit,Open-Circuit,6
No voltage sensors,MLP,Short-Circuit,Shadowing,32
No voltage sensors,MLP,Degradation,Normal,5096
No voltage sensors,MLP,Degradation,Short-Circuit,16
No voltage sensors,MLP,Degradation,Degradation,4956
No voltage sensors,MLP,Degradation,Open-Circuit,33
No voltage sensors,MLP,Degradation,Shadowing,270
No voltage sensors,MLP,Open-Circuit,Normal,0
No voltage sensors,MLP,Open-Circuit,Short-Circuit,0
No voltage sensors,MLP,Open-Circuit,Degradation,0
No voltage sensors,MLP,Open-Circuit,Open-Circuit,6024
No voltage sensors,MLP,Open-Circuit,Shadowing,0
No voltage sensors,MLP,Shadowing,Normal,13416
No voltage sensors,MLP,Shadowing,Short-Circuit,45
No voltage sensors,MLP,Shadowing,Degradation,66
No voltage sensors,MLP,Shadowing,Open-Circuit,41
No voltage sensors,MLP,Shadowing,Shadowing,174905
Computed power + approximate measured-POA physics,MLP,Normal,Normal,336077
Computed power + approximate measured-POA physics,MLP,Normal,Short-Circuit,0
Computed power + approximate measured-POA physics,MLP,Normal,Degradation,4565
Computed power + approximate measured-POA physics,MLP,Normal,Open-Circuit,58
Computed power + approximate measured-POA physics,MLP,Normal,Shadowing,62144
Computed power + approximate measured-POA physics,MLP,Short-Circuit,Normal,18
Computed power + approximate measured-POA physics,MLP,Short-Circuit,Short-Circuit,5319
Computed power + approximate measured-POA physics,MLP,Short-Circuit,Degradation,18
Computed power + approximate measured-POA physics,MLP,Short-Circuit,Open-Circuit,10
Computed power + approximate measured-POA physics,MLP,Short-Circuit,Shadowing,634
Computed power + approximate measured-POA physics,MLP,Degradation,Normal,3290
Computed power + approximate measured-POA physics,MLP,Degradation,Short-Circuit,2226
Computed power + approximate measured-POA physics,MLP,Degradation,Degradation,4537
Computed power + approximate measured-POA physics,MLP,Degradation,Open-Circuit,35
Computed power + approximate measured-POA physics,MLP,Degradation,Shadowing,283
Computed power + approximate measured-POA physics,MLP,Open-Circuit,Normal,0
Computed power + approximate measured-POA physics,MLP,Open-Circuit,Short-Circuit,0
Computed power + approximate measured-POA physics,MLP,Open-Circuit,Degradation,0
Computed power + approximate measured-POA physics,MLP,Open-Circuit,Open-Circuit,5420
Computed power + approximate measured-POA physics,MLP,Open-Circuit,Shadowing,604
Computed power + approximate measured-POA physics,MLP,Shadowing,Normal,15732
Computed power + approximate measured-POA physics,MLP,Shadowing,Short-Circuit,363
Computed power + approximate measured-POA physics,MLP,Shadowing,Degradation,309
Computed power + approximate measured-POA physics,MLP,Shadowing,Open-Circuit,50
Computed power + approximate measured-POA physics,MLP,Shadowing,Shadowing,172019
Computed total power only,LogReg,Normal,Normal,63006
Computed total power only,LogReg,Normal,Short-Circuit,91403
Computed total power only,LogReg,Normal,Degradation,111660
Computed total power only,LogReg,Normal,Open-Circuit,7090
Computed total power only,LogReg,Normal,Shadowing,129685
Computed total power only,LogReg,Short-Circuit,Normal,605
Computed total power only,LogReg,Short-Circuit,Short-Circuit,3594
Computed total power only,LogReg,Short-Circuit,Degradation,1791
Computed total power only,LogReg,Short-Circuit,Open-Circuit,9
Computed total power only,LogReg,Short-Circuit,Shadowing,0
Computed total power only,LogReg,Degradation,Normal,49
Computed total power only,LogReg,Degradation,Short-Circuit,2802
Computed total power only,LogReg,Degradation,Degradation,7485
Computed total power only,LogReg,Degradation,Open-Circuit,35
Computed total power only,LogReg,Degradation,Shadowing,0
Computed total power only,LogReg,Open-Circuit,Normal,0
Computed total power only,LogReg,Open-Circuit,Short-Circuit,0
Computed total power only,LogReg,Open-Circuit,Degradation,0
Computed total power only,LogReg,Open-Circuit,Open-Circuit,6021
Computed total power only,LogReg,Open-Circuit,Shadowing,3
Computed total power only,LogReg,Shadowing,Normal,46001
Computed total power only,LogReg,Shadowing,Short-Circuit,6050
Computed total power only,LogReg,Shadowing,Degradation,337
Computed total power only,LogReg,Shadowing,Open-Circuit,29652
Computed total power only,LogReg,Shadowing,Shadowing,106433
Computed total power only,RF,Normal,Normal,328789
Computed total power only,RF,Normal,Short-Circuit,5207
Computed total power only,RF,Normal,Degradation,9987
Computed total power only,RF,Normal,Open-Circuit,817
Computed total power only,RF,Normal,Shadowing,58044
Computed total power only,RF,Short-Circuit,Normal,5280
Computed total power only,RF,Short-Circuit,Short-Circuit,205
Computed total power only,RF,Short-Circuit,Degradation,280
Computed total power only,RF,Short-Circuit,Open-Circuit,0
Computed total power only,RF,Short-Circuit,Shadowing,234
Computed total power only,RF,Degradation,Normal,9343
Computed total power only,RF,Degradation,Short-Circuit,277
Computed total power only,RF,Degradation,Degradation,525
Computed total power only,RF,Degradation,Open-Circuit,5
Computed total power only,RF,Degradation,Shadowing,221
Computed total power only,RF,Open-Circuit,Normal,910
Computed total power only,RF,Open-Circuit,Short-Circuit,1
Computed total power only,RF,Open-Circuit,Degradation,5
Computed total power only,RF,Open-Circuit,Open-Circuit,1273
Computed total power only,RF,Open-Circuit,Shadowing,3835
Computed total power only,RF,Shadowing,Normal,56461
Computed total power only,RF,Shadowing,Short-Circuit,196
Computed total power only,RF,Shadowing,Degradation,231
Computed total power only,RF,Shadowing,Open-Circuit,3406
Computed total power only,RF,Shadowing,Shadowing,128179
Computed total power only,HistGBM,Normal,Normal,209991
Computed total power only,HistGBM,Normal,Short-Circuit,52234
Computed total power only,HistGBM,Normal,Degradation,84313
Computed total power only,HistGBM,Normal,Open-Circuit,4455
Computed total power only,HistGBM,Normal,Shadowing,51851
Computed total power only,HistGBM,Short-Circuit,Normal,1499
Computed total power only,HistGBM,Short-Circuit,Short-Circuit,2360
Computed total power only,HistGBM,Short-Circuit,Degradation,2122
Computed total power only,HistGBM,Short-Circuit,Open-Circuit,6
Computed total power only,HistGBM,Short-Circuit,Shadowing,12
Computed total power only,HistGBM,Degradation,Normal,4538
Computed total power only,HistGBM,Degradation,Short-Circuit,1783
Computed total power only,HistGBM,Degradation,Degradation,4000
Computed total power only,HistGBM,Degradation,Open-Circuit,14
Computed total power only,HistGBM,Degradation,Shadowing,36
Computed total power only,HistGBM,Open-Circuit,Normal,0
Computed total power only,HistGBM,Open-Circuit,Short-Circuit,0
Computed total power only,HistGBM,Open-Circuit,Degradation,0
Computed total power only,HistGBM,Open-Circuit,Open-Circuit,4329
Computed total power only,HistGBM,Open-Circuit,Shadowing,1695
Computed total power only,HistGBM,Shadowing,Normal,18977
Computed total power only,HistGBM,Shadowing,Short-Circuit,1697
Computed total power only,HistGBM,Shadowing,Degradation,1541
Computed total power only,HistGBM,Shadowing,Open-Circuit,19490
Computed total power only,HistGBM,Shadowing,Shadowing,146768
Computed total power only,MLP,Normal,Normal,346545
Computed total power only,MLP,Normal,Short-Circuit,0
Computed total power only,MLP,Normal,Degradation,0
Computed total power only,MLP,Normal,Open-Circuit,2
Computed total power only,MLP,Normal,Shadowing,56297
Computed total power only,MLP,Short-Circuit,Normal,5981
Computed total power only,MLP,Short-Circuit,Short-Circuit,0
Computed total power only,MLP,Short-Circuit,Degradation,0
Computed total power only,MLP,Short-Circuit,Open-Circuit,0
Computed total power only,MLP,Short-Circuit,Shadowing,18
Computed total power only,MLP,Degradation,Normal,10321
Computed total power only,MLP,Degradation,Short-Circuit,0
Computed total power only,MLP,Degradation,Degradation,0
Computed total power only,MLP,Degradation,Open-Circuit,0
Computed total power only,MLP,Degradation,Shadowing,50
Computed total power only,MLP,Open-Circuit,Normal,0
Computed total power only,MLP,Open-Circuit,Short-Circuit,0
Computed total power only,MLP,Open-Circuit,Degradation,0
Computed total power only,MLP,Open-Circuit,Open-Circuit,0
Computed total power only,MLP,Open-Circuit,Shadowing,6024
Computed total power only,MLP,Shadowing,Normal,22236
Computed total power only,MLP,Shadowing,Short-Circuit,0
Computed total power only,MLP,Shadowing,Degradation,0
Computed total power only,MLP,Shadowing,Open-Circuit,23
Computed total power only,MLP,Shadowing,Shadowing,166214
Computed power + measured irradiance,LogReg,Normal,Normal,259498
Computed power + measured irradiance,LogReg,Normal,Short-Circuit,836
Computed power + measured irradiance,LogReg,Normal,Degradation,88179
Computed power + measured irradiance,LogReg,Normal,Open-Circuit,102
Computed power + measured irradiance,LogReg,Normal,Shadowing,54229
Computed power + measured irradiance,LogReg,Short-Circuit,Normal,1
Computed power + measured irradiance,LogReg,Short-Circuit,Short-Circuit,5231
Computed power + measured irradiance,LogReg,Short-Circuit,Degradation,159
Computed power + measured irradiance,LogReg,Short-Circuit,Open-Circuit,18
Computed power + measured irradiance,LogReg,Short-Circuit,Shadowing,590
Computed power + measured irradiance,LogReg,Degradation,Normal,2374
Computed power + measured irradiance,LogReg,Degradation,Short-Circuit,3250
Computed power + measured irradiance,LogReg,Degradation,Degradation,4692
Computed power + measured irradiance,LogReg,Degradation,Open-Circuit,55
Computed power + measured irradiance,LogReg,Degradation,Shadowing,0
Computed power + measured irradiance,LogReg,Open-Circuit,Normal,0
Computed power + measured irradiance,LogReg,Open-Circuit,Short-Circuit,594
Computed power + measured irradiance,LogReg,Open-Circuit,Degradation,0
Computed power + measured irradiance,LogReg,Open-Circuit,Open-Circuit,5430
Computed power + measured irradiance,LogReg,Open-Circuit,Shadowing,0
Computed power + measured irradiance,LogReg,Shadowing,Normal,71150
Computed power + measured irradiance,LogReg,Shadowing,Short-Circuit,10030
Computed power + measured irradiance,LogReg,Shadowing,Degradation,1231
Computed power + measured irradiance,LogReg,Shadowing,Open-Circuit,2231
Computed power + measured irradiance,LogReg,Shadowing,Shadowing,103831
Computed power + measured irradiance,RF,Normal,Normal,347745
Computed power + measured irradiance,RF,Normal,Short-Circuit,1504
Computed power + measured irradiance,RF,Normal,Degradation,5830
Computed power + measured irradiance,RF,Normal,Open-Circuit,0
Computed power + measured irradiance,RF,Normal,Shadowing,47765
Computed power + measured irradiance,RF,Short-Circuit,Normal,130
Computed power + measured irradiance,RF,Short-Circuit,Short-Circuit,1038
Computed power + measured irradiance,RF,Short-Circuit,Degradation,2119
Computed power + measured irradiance,RF,Short-Circuit,Open-Circuit,8
Computed power + measured irradiance,RF,Short-Circuit,Shadowing,2704
Computed power + measured irradiance,RF,Degradation,Normal,5113
Computed power + measured irradiance,RF,Degradation,Short-Circuit,1222
Computed power + measured irradiance,RF,Degradation,Degradation,2493
Computed power + measured irradiance,RF,Degradation,Open-Circuit,14
Computed power + measured irradiance,RF,Degradation,Shadowing,1529
Computed power + measured irradiance,RF,Open-Circuit,Normal,0
Computed power + measured irradiance,RF,Open-Circuit,Short-Circuit,56
Computed power + measured irradiance,RF,Open-Circuit,Degradation,959
Computed power + measured irradiance,RF,Open-Circuit,Open-Circuit,3521
Computed power + measured irradiance,RF,Open-Circuit,Shadowing,1488
Computed power + measured irradiance,RF,Shadowing,Normal,28483
Computed power + measured irradiance,RF,Shadowing,Short-Circuit,168
Computed power + measured irradiance,RF,Shadowing,Degradation,151
Computed power + measured irradiance,RF,Shadowing,Open-Circuit,26
Computed power + measured irradiance,RF,Shadowing,Shadowing,159645
Computed power + measured irradiance,HistGBM,Normal,Normal,335913
Computed power + measured irradiance,HistGBM,Normal,Short-Circuit,4358
Computed power + measured irradiance,HistGBM,Normal,Degradation,10616
Computed power + measured irradiance,HistGBM,Normal,Open-Circuit,0
Computed power + measured irradiance,HistGBM,Normal,Shadowing,51957
Computed power + measured irradiance,HistGBM,Short-Circuit,Normal,324
Computed power + measured irradiance,HistGBM,Short-Circuit,Short-Circuit,2709
Computed power + measured irradiance,HistGBM,Short-Circuit,Degradation,2129
Computed power + measured irradiance,HistGBM,Short-Circuit,Open-Circuit,8
Computed power + measured irradiance,HistGBM,Short-Circuit,Shadowing,829
Computed power + measured irradiance,HistGBM,Degradation,Normal,4886
Computed power + measured irradiance,HistGBM,Degradation,Short-Circuit,1567
Computed power + measured irradiance,HistGBM,Degradation,Degradation,3559
Computed power + measured irradiance,HistGBM,Degradation,Open-Circuit,24
Computed power + measured irradiance,HistGBM,Degradation,Shadowing,335
Computed power + measured irradiance,HistGBM,Open-Circuit,Normal,0
Computed power + measured irradiance,HistGBM,Open-Circuit,Short-Circuit,32
Computed power + measured irradiance,HistGBM,Open-Circuit,Degradation,880
Computed power + measured irradiance,HistGBM,Open-Circuit,Open-Circuit,4858
Computed power + measured irradiance,HistGBM,Open-Circuit,Shadowing,254
Computed power + measured irradiance,HistGBM,Shadowing,Normal,20001
Computed power + measured irradiance,HistGBM,Shadowing,Short-Circuit,277
Computed power + measured irradiance,HistGBM,Shadowing,Degradation,451
Computed power + measured irradiance,HistGBM,Shadowing,Open-Circuit,62
Computed power + measured irradiance,HistGBM,Shadowing,Shadowing,167682
Computed power + measured irradiance,MLP,Normal,Normal,342633
Computed power + measured irradiance,MLP,Normal,Short-Circuit,7
Computed power + measured irradiance,MLP,Normal,Degradation,6879
Computed power + measured irradiance,MLP,Normal,Open-Circuit,0
Computed power + measured irradiance,MLP,Normal,Shadowing,53325
Computed power + measured irradiance,MLP,Short-Circuit,Normal,26
Computed power + measured irradiance,MLP,Short-Circuit,Short-Circuit,3695
Computed power + measured irradiance,MLP,Short-Circuit,Degradation,1498
Computed power + measured irradiance,MLP,Short-Circuit,Open-Circuit,10
Computed power + measured irradiance,MLP,Short-Circuit,Shadowing,770
Computed power + measured irradiance,MLP,Degradation,Normal,4592
Computed power + measured irradiance,MLP,Degradation,Short-Circuit,2695
Computed power + measured irradiance,MLP,Degradation,Degradation,2699
Computed power + measured irradiance,MLP,Degradation,Open-Circuit,38
Computed power + measured irradiance,MLP,Degradation,Shadowing,347
Computed power + measured irradiance,MLP,Open-Circuit,Normal,0
Computed power + measured irradiance,MLP,Open-Circuit,Short-Circuit,0
Computed power + measured irradiance,MLP,Open-Circuit,Degradation,0
Computed power + measured irradiance,MLP,Open-Circuit,Open-Circuit,5418
Computed power + measured irradiance,MLP,Open-Circuit,Shadowing,606
Computed power + measured irradiance,MLP,Shadowing,Normal,18635
Computed power + measured irradiance,MLP,Shadowing,Short-Circuit,533
Computed power + measured irradiance,MLP,Shadowing,Degradation,339
Computed power + measured irradiance,MLP,Shadowing,Open-Circuit,50
Computed power + measured irradiance,MLP,Shadowing,Shadowing,168916
Computed power + irradiance + module temp,LogReg,Normal,Normal,238976
Computed power + irradiance + module temp,LogReg,Normal,Short-Circuit,3193
Computed power + irradiance + module temp,LogReg,Normal,Degradation,91213
Computed power + irradiance + module temp,LogReg,Normal,Open-Circuit,102
Computed power + irradiance + module temp,LogReg,Normal,Shadowing,69360
Computed power + irradiance + module temp,LogReg,Short-Circuit,Normal,1
Computed power + irradiance + module temp,LogReg,Short-Circuit,Short-Circuit,5352
Computed power + irradiance + module temp,LogReg,Short-Circuit,Degradation,38
Computed power + irradiance + module temp,LogReg,Short-Circuit,Open-Circuit,18
Computed power + irradiance + module temp,LogReg,Short-Circuit,Shadowing,590
Computed power + irradiance + module temp,LogReg,Degradation,Normal,2375
Computed power + irradiance + module temp,LogReg,Degradation,Short-Circuit,3199
Computed power + irradiance + module temp,LogReg,Degradation,Degradation,4745
Computed power + irradiance + module temp,LogReg,Degradation,Open-Circuit,52
Computed power + irradiance + module temp,LogReg,Degradation,Shadowing,0
Computed power + irradiance + module temp,LogReg,Open-Circuit,Normal,0
Computed power + irradiance + module temp,LogReg,Open-Circuit,Short-Circuit,2
Computed power + irradiance + module temp,LogReg,Open-Circuit,Degradation,0
Computed power + irradiance + module temp,LogReg,Open-Circuit,Open-Circuit,6022
Computed power + irradiance + module temp,LogReg,Open-Circuit,Shadowing,0
Computed power + irradiance + module temp,LogReg,Shadowing,Normal,70798
Computed power + irradiance + module temp,LogReg,Shadowing,Short-Circuit,10793
Computed power + irradiance + module temp,LogReg,Shadowing,Degradation,1333
Computed power + irradiance + module temp,LogReg,Shadowing,Open-Circuit,787
Computed power + irradiance + module temp,LogReg,Shadowing,Shadowing,104762
Computed power + irradiance + module temp,RF,Normal,Normal,351257
Computed power + irradiance + module temp,RF,Normal,Short-Circuit,865
Computed power + irradiance + module temp,RF,Normal,Degradation,2377
Computed power + irradiance + module temp,RF,Normal,Open-Circuit,0
Computed power + irradiance + module temp,RF,Normal,Shadowing,48345
Computed power + irradiance + module temp,RF,Short-Circuit,Normal,496
Computed power + irradiance + module temp,RF,Short-Circuit,Short-Circuit,2158
Computed power + irradiance + module temp,RF,Short-Circuit,Degradation,1127
Computed power + irradiance + module temp,RF,Short-Circuit,Open-Circuit,8
Computed power + irradiance + module temp,RF,Short-Circuit,Shadowing,2210
Computed power + irradiance + module temp,RF,Degradation,Normal,7766
Computed power + irradiance + module temp,RF,Degradation,Short-Circuit,86
Computed power + irradiance + module temp,RF,Degradation,Degradation,2238
Computed power + irradiance + module temp,RF,Degradation,Open-Circuit,24
Computed power + irradiance + module temp,RF,Degradation,Shadowing,257
Computed power + irradiance + module temp,RF,Open-Circuit,Normal,0
Computed power + irradiance + module temp,RF,Open-Circuit,Short-Circuit,183
Computed power + irradiance + module temp,RF,Open-Circuit,Degradation,383
Computed power + irradiance + module temp,RF,Open-Circuit,Open-Circuit,4221
Computed power + irradiance + module temp,RF,Open-Circuit,Shadowing,1237
Computed power + irradiance + module temp,RF,Shadowing,Normal,27973
Computed power + irradiance + module temp,RF,Shadowing,Short-Circuit,168
Computed power + irradiance + module temp,RF,Shadowing,Degradation,125
Computed power + irradiance + module temp,RF,Shadowing,Open-Circuit,32
Computed power + irradiance + module temp,RF,Shadowing,Shadowing,160175
Computed power + irradiance + module temp,HistGBM,Normal,Normal,280221
Computed power + irradiance + module temp,HistGBM,Normal,Short-Circuit,8518
Computed power + irradiance + module temp,HistGBM,Normal,Degradation,7815
Computed power + irradiance + module temp,HistGBM,Normal,Open-Circuit,3205
Computed power + irradiance + module temp,HistGBM,Normal,Shadowing,103085
Computed power + irradiance + module temp,HistGBM,Short-Circuit,Normal,576
Computed power + irradiance + module temp,HistGBM,Short-Circuit,Short-Circuit,3009
Computed power + irradiance + module temp,HistGBM,Short-Circuit,Degradation,14
Computed power + irradiance + module temp,HistGBM,Short-Circuit,Open-Circuit,6
Computed power + irradiance + module temp,HistGBM,Short-Circuit,Shadowing,2394
Computed power + irradiance + module temp,HistGBM,Degradation,Normal,2897
Computed power + irradiance + module temp,HistGBM,Degradation,Short-Circuit,1864
Computed power + irradiance + module temp,HistGBM,Degradation,Degradation,4379
Computed power + irradiance + module temp,HistGBM,Degradation,Open-Circuit,21
Computed power + irradiance + module temp,HistGBM,Degradation,Shadowing,1210
Computed power + irradiance + module temp,HistGBM,Open-Circuit,Normal,0
Computed power + irradiance + module temp,HistGBM,Open-Circuit,Short-Circuit,678
Computed power + irradiance + module temp,HistGBM,Open-Circuit,Degradation,773
Computed power + irradiance + module temp,HistGBM,Open-Circuit,Open-Circuit,3493
Computed power + irradiance + module temp,HistGBM,Open-Circuit,Shadowing,1080
Computed power + irradiance + module temp,HistGBM,Shadowing,Normal,22518
Computed power + irradiance + module temp,HistGBM,Shadowing,Short-Circuit,247
Computed power + irradiance + module temp,HistGBM,Shadowing,Degradation,187
Computed power + irradiance + module temp,HistGBM,Shadowing,Open-Circuit,32
Computed power + irradiance + module temp,HistGBM,Shadowing,Shadowing,165489
Computed power + irradiance + module temp,MLP,Normal,Normal,337867
Computed power + irradiance + module temp,MLP,Normal,Short-Circuit,21
Computed power + irradiance + module temp,MLP,Normal,Degradation,6602
Computed power + irradiance + module temp,MLP,Normal,Open-Circuit,100
Computed power + irradiance + module temp,MLP,Normal,Shadowing,58254
Computed power + irradiance + module temp,MLP,Short-Circuit,Normal,20
Computed power + irradiance + module temp,MLP,Short-Circuit,Short-Circuit,4912
Computed power + irradiance + module temp,MLP,Short-Circuit,Degradation,431
Computed power + irradiance + module temp,MLP,Short-Circuit,Open-Circuit,8
Computed power + irradiance + module temp,MLP,Short-Circuit,Shadowing,628
Computed power + irradiance + module temp,MLP,Degradation,Normal,2827
Computed power + irradiance + module temp,MLP,Degradation,Short-Circuit,2131
Computed power + irradiance + module temp,MLP,Degradation,Degradation,4890
Computed power + irradiance + module temp,MLP,Degradation,Open-Circuit,22
Computed power + irradiance + module temp,MLP,Degradation,Shadowing,501
Computed power + irradiance + module temp,MLP,Open-Circuit,Normal,0
Computed power + irradiance + module temp,MLP,Open-Circuit,Short-Circuit,0
Computed power + irradiance + module temp,MLP,Open-Circuit,Degradation,0
Computed power + irradiance + module temp,MLP,Open-Circuit,Open-Circuit,5192
Computed power + irradiance + module temp,MLP,Open-Circuit,Shadowing,832
Computed power + irradiance + module temp,MLP,Shadowing,Normal,18717
Computed power + irradiance + module temp,MLP,Shadowing,Short-Circuit,432
Computed power + irradiance + module temp,MLP,Shadowing,Degradation,310
Computed power + irradiance + module temp,MLP,Shadowing,Open-Circuit,360
Computed power + irradiance + module temp,MLP,Shadowing,Shadowing,168654
HK-availability proxy (not a validated transfer mapping),LogReg,Normal,Normal,272907
HK-availability proxy (not a validated transfer mapping),LogReg,Normal,Short-Circuit,3154
HK-availability proxy (not a validated transfer mapping),LogReg,Normal,Degradation,67039
HK-availability proxy (not a validated transfer mapping),LogReg,Normal,Open-Circuit,103
HK-availability proxy (not a validated transfer mapping),LogReg,Normal,Shadowing,59641
HK-availability proxy (not a validated transfer mapping),LogReg,Short-Circuit,Normal,1
HK-availability proxy (not a validated transfer mapping),LogReg,Short-Circuit,Short-Circuit,5349
HK-availability proxy (not a validated transfer mapping),LogReg,Short-Circuit,Degradation,41
HK-availability proxy (not a validated transfer mapping),LogReg,Short-Circuit,Open-Circuit,18
HK-availability proxy (not a validated transfer mapping),LogReg,Short-Circuit,Shadowing,590
HK-availability proxy (not a validated transfer mapping),LogReg,Degradation,Normal,2375
HK-availability proxy (not a validated transfer mapping),LogReg,Degradation,Short-Circuit,1787
HK-availability proxy (not a validated transfer mapping),LogReg,Degradation,Degradation,6157
HK-availability proxy (not a validated transfer mapping),LogReg,Degradation,Open-Circuit,52
HK-availability proxy (not a validated transfer mapping),LogReg,Degradation,Shadowing,0
HK-availability proxy (not a validated transfer mapping),LogReg,Open-Circuit,Normal,0
HK-availability proxy (not a validated transfer mapping),LogReg,Open-Circuit,Short-Circuit,0
HK-availability proxy (not a validated transfer mapping),LogReg,Open-Circuit,Degradation,0
HK-availability proxy (not a validated transfer mapping),LogReg,Open-Circuit,Open-Circuit,6022
HK-availability proxy (not a validated transfer mapping),LogReg,Open-Circuit,Shadowing,2
HK-availability proxy (not a validated transfer mapping),LogReg,Shadowing,Normal,28755
HK-availability proxy (not a validated transfer mapping),LogReg,Shadowing,Short-Circuit,7988
HK-availability proxy (not a validated transfer mapping),LogReg,Shadowing,Degradation,1276
HK-availability proxy (not a validated transfer mapping),LogReg,Shadowing,Open-Circuit,738
HK-availability proxy (not a validated transfer mapping),LogReg,Shadowing,Shadowing,149716
HK-availability proxy (not a validated transfer mapping),RF,Normal,Normal,352693
HK-availability proxy (not a validated transfer mapping),RF,Normal,Short-Circuit,1257
HK-availability proxy (not a validated transfer mapping),RF,Normal,Degradation,2541
