capacity,scale_factor,denominator_rows,screening_rate,score_median,pred_Normal,pred_Short-Circuit,pred_Degradation,pred_Open-Circuit,pred_Shadowing
5.00 kW (primary),0.18112005,4745,0.679663,0.92264,1520,8,165,6,3046
5.28 kW (sensitivity),0.19126277,4745,0.67313,0.909274,1551,25,165,4,3000
