arm,year,ghi_clear_decile,n,mean_ghi_clear,mean_resid_W,mean_pred_W,sample
Arm C (pvlib + ML estimate),2022,9,1594,942.0,-66.3,15175.6,in-sample
Arm C (pvlib + ML estimate),2023,0,1568,103.8,-475.7,1761.6,out-of-sample
Arm C (pvlib + ML estimate),2023,1,1564,223.9,-624.1,3458.6,out-of-sample
Arm C (pvlib + ML estimate),2023,2,1564,347.6,-892.1,5609.2,out-of-sample
Arm C (pvlib + ML estimate),2023,3,1564,465.8,-1222.3,7929.3,out-of-sample
Arm C (pvlib + ML estimate),2023,4,1560,572.3,-1285.5,9851.4,out-of-sample
Arm C (pvlib + ML estimate),2023,5,1560,662.4,-1563.0,11620.4,out-of-sample
Arm C (pvlib + ML estimate),2023,6,1576,731.4,-1377.4,12804.0,out-of-sample
Arm C (pvlib + ML estimate),2023,7,1577,803.7,-1500.0,13471.9,out-of-sample
Arm C (pvlib + ML estimate),2023,8,1567,878.3,-1797.0,14981.7,out-of-sample
Arm C (pvlib + ML estimate),2023,9,1569,942.3,-2529.7,15204.0,out-of-sample
