feature_set,method,valid_for_reporting,validity_label,true,pred,count
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Normal,Degradation,42506
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Normal,Open-Circuit,0
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Normal,Shadowing,60311
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Short-Circuit,Normal,120
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Short-Circuit,Short-Circuit,5075
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Short-Circuit,Degradation,102
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Short-Circuit,Open-Circuit,9
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Short-Circuit,Shadowing,693
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Degradation,Normal,4083
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Degradation,Short-Circuit,357
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Degradation,Degradation,5826
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Degradation,Open-Circuit,31
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Degradation,Shadowing,74
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Open-Circuit,Normal,0
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Open-Circuit,Short-Circuit,102
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Open-Circuit,Degradation,0
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Open-Circuit,Open-Circuit,5733
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Open-Circuit,Shadowing,189
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Shadowing,Normal,17797
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Shadowing,Short-Circuit,727
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Shadowing,Degradation,4668
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Shadowing,Open-Circuit,80
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Shadowing,Shadowing,165201
